brand,country
ALFA ROMEO,Italy
Aston,UK
Audi,Germany
BMW,Germany
Chevrolet,USA
Dodge,USA
Ferrari,Italy
Honda,Japan
Jaguar,UK
Lamborghini,Italy
MAZDA,Japan
McLaren,UK
Mercedes-Benz,Germany
NISSAN,Japan
Pagani Automobili S.p.A.,Italy
Porsche,Germany
FIAT,Italy
Mini,Germany
SCION,USA
Subaru,Japan
Bentley,UK
Buick,USA
Ford,USA
HYUNDAI,South Korea
LEXUS,Japan
MASERATI,Italy
Roush,USA
Volkswagen,Germany
Acura,Japan
Cadillac,USA
INFINITI,Hong Kong
KIA,South Korea
Mitsubishi,Japan
Rolls-Royce,UK
TOYOTA,Japan
Volvo,Sweden
Chrysler,USA
Lincoln,USA
GMC,USA
RAM,USA
CHEVROLET,USA
Jeep,USA
Land Rover,UK
Tesla,USA
Genesis,South Korea
Rivian,USA
Lotus,UK
Lucid,USA
Karma,USA
Polestar,Sweden
Bugatti,France
Smart,Switzerland
Suzuki,japan
